epoch,train_loss,val_loss,train_acc,val_acc,precision,recall,f1_score,epoch_time_sec
1,0.8427018531415224,0.5578286667315724,0.70878,0.8115,0.8236485092740308,0.8115,0.8098092279788071,270.17213892936707
2,0.48991971507773363,0.46299712838361057,0.83502,0.8404,0.8547810631727154,0.8404,0.8409128090010101,269.9803614616394
3,0.38797318604336817,0.3712288685047779,0.86946,0.8761,0.8808831655099167,0.8761,0.8753249395808118,268.53060579299927
4,0.32896426645651583,0.3616174675595646,0.8879,0.8775,0.8823269549185843,0.8775,0.8732273786729953,268.9083309173584
5,0.28570994021167223,0.35842768537303127,0.90304,0.882,0.8875135011906403,0.882,0.8833318032332359,268.62856435775757
6,0.2566308573315007,0.3967054158020705,0.91326,0.8711,0.8795262353917127,0.8711,0.8719903901697391,272.74911546707153
7,0.24109282592634454,0.31028967422132675,0.91772,0.8977,0.899034605958843,0.8977,0.8975275546441628,271.3053095340729
8,0.22486212448665654,0.328165988220622,0.92322,0.8926,0.8960753345424719,0.8926,0.8927735171632699,271.6832592487335
9,0.2078877476825166,0.3344072079934632,0.92918,0.8873,0.8907535633176498,0.8873,0.887274779500203,272.01764011383057
10,0.19705985584346933,0.34323204158486936,0.93272,0.8891,0.8950413344547408,0.8891,0.8896103580460014,271.8278844356537
11,0.19304480965196208,0.3519471529216622,0.9342,0.8875,0.8918110556989605,0.8875,0.888012581757444,271.63109493255615
12,0.17949444758622374,0.3075669202477502,0.93942,0.8995,0.9021039761671733,0.8995,0.8995526127896721,271.75264501571655
13,0.17908464305362617,0.30420336668817,0.93946,0.9028,0.9045702547677632,0.9028,0.9030432184835941,271.8501558303833
14,0.1669234284581122,0.34345061523607745,0.9435,0.8947,0.8982520289385953,0.8947,0.8953588652662531,271.8398208618164
15,0.1660066994472561,0.3228294163341292,0.9433,0.8991,0.9014690419567605,0.8991,0.8989332832582085,271.7140941619873
16,0.16228658353813918,0.3379885243733946,0.94528,0.8898,0.8915551248142961,0.8898,0.8893836012914642,271.82217144966125
17,0.16252093087650613,0.28586909095771584,0.94452,0.9076,0.9089306043950895,0.9076,0.9075891394671768,282.278879404068
18,0.15779378559405816,0.35787436924130916,0.94688,0.8885,0.8950030001262587,0.8885,0.8894228820073469,284.2565498352051
19,0.15213621357263388,0.2958370857149029,0.94848,0.9039,0.9050571932327912,0.9039,0.9036365949119501,284.3007273674011
20,0.1473709573729115,0.32963047984142463,0.95098,0.8994,0.9049736914163681,0.8994,0.8996921350311903,284.13173961639404
21,0.1446336286314671,0.3281332123429535,0.95084,0.8954,0.8982234765483765,0.8954,0.8948586695504706,284.1866157054901
22,0.1488591236682336,0.32046253825076665,0.95078,0.8979,0.897612273668359,0.8979,0.897161515868941,283.8425304889679
23,0.14522532838672608,0.3552696476467311,0.95066,0.8917,0.8944323407173668,0.8917,0.8902045007034008,283.9468286037445
24,0.13904142241998887,0.3106439040003779,0.95312,0.904,0.9065683669872102,0.904,0.9044689245246993,284.3195552825928
25,0.1396663061592499,0.3605357023735587,0.9532,0.9009,0.9025172598130379,0.9009,0.9003786546948026,284.049476146698
26,0.137671465555716,0.35567765343731966,0.9537,0.8945,0.8962770290718681,0.8945,0.8943319136016363,284.0763783454895
27,0.13640732888478824,0.36119655061203737,0.95456,0.8907,0.8940223523188737,0.8907,0.8908215612594177,283.98488092422485
28,0.13942824351831898,0.31930112562621366,0.95326,0.8972,0.8986823991572066,0.8972,0.8973004743106836,283.9750919342041
29,0.13321339230572118,0.33309181737371335,0.95592,0.8971,0.9003768909244431,0.8971,0.8971411489314147,284.0765771865845
30,0.13087066516214035,0.332724230313382,0.9562,0.8983,0.8995108087423003,0.8983,0.8980788046749363,284.4582853317261
31,0.13088088361853262,0.38389573136743266,0.95596,0.8875,0.888588387216135,0.8875,0.8861948773975108,284.1618161201477
32,0.13031228364493533,0.3414408702331896,0.95656,0.8951,0.8990886286019991,0.8951,0.8951211249884378,284.0842432975769
33,0.12867537618782168,0.4789900473964671,0.9566,0.8706,0.8803886383909636,0.8706,0.8719439769387615,284.6306676864624
34,0.12741423230910207,0.313018123660915,0.957,0.903,0.9033179142425802,0.903,0.9030529026815096,284.18309926986694
35,0.12953797141743242,0.350575100139569,0.95706,0.8931,0.8952646897729936,0.8931,0.8931120735561461,272.7495620250702
36,0.12252255358959066,0.33281454417449885,0.95976,0.8986,0.9016077623841989,0.8986,0.898817547886293,270.1309311389923
37,0.12855917723455854,0.39042999752508567,0.95728,0.8921,0.895161175047734,0.8921,0.891868522729392,270.16299080848694
38,0.12618307285910557,0.4119543049234552,0.95772,0.8799,0.8928494732418639,0.8799,0.8815836338878106,270.5288019180298
39,0.12397107789760678,0.3600750955613181,0.95866,0.892,0.8939186625250981,0.892,0.8915923098745329,271.0023534297943
40,0.1277810448519373,0.33908911443318424,0.9581,0.8966,0.8971761290935698,0.8966,0.8961113596387266,270.23838686943054
41,0.12286743278786039,0.4050956508888604,0.95982,0.8828,0.8879646889297915,0.8828,0.8827723604660767,269.9971001148224
42,0.1245270994632944,0.3416729384479812,0.95874,0.8907,0.8932344286494581,0.8907,0.8910939025794389,270.1339542865753
43,0.11908290904716624,0.36049024916042727,0.96002,0.8877,0.8899424003022594,0.8877,0.8879666050537307,279.2370083332062
44,0.12415326685131953,0.42543421788051866,0.95918,0.8804,0.8839175845445059,0.8804,0.8801260425436727,284.1713719367981
45,0.1271395844901791,0.33290895199426973,0.957,0.9028,0.90503997322374,0.9028,0.9024075248257439,283.2749056816101
46,0.11911745559199524,0.356860030235681,0.96074,0.9,0.9011454106133758,0.9,0.899735985720384,283.9594748020172
47,0.11896684257208143,0.4100923406930206,0.95988,0.8768,0.8795791294945521,0.8768,0.8757336256044177,283.92336797714233
48,0.1227567807064953,0.3596695220579926,0.95924,0.8895,0.8951844343319746,0.8895,0.8903576138422861,284.5800790786743
49,0.12023659568136678,0.38223262029453015,0.9599,0.8847,0.8903219875592303,0.8847,0.8864329827149647,284.413293838501
50,0.11621357731711654,0.35907482865382545,0.96142,0.9002,0.9027381968209118,0.9002,0.9005774615023824,283.7616147994995
51,0.12399547169871271,0.4391715427408346,0.9582,0.8831,0.8868210666707486,0.8831,0.8832282012220538,283.8939185142517
52,0.1152755003714468,0.36760773447851025,0.96242,0.889,0.8906543024883725,0.889,0.888775008870047,283.58864736557007
53,0.12259530005333033,0.473196310891261,0.9591,0.8728,0.8838783689009171,0.8728,0.8732643743667245,283.9919378757477
54,0.11958129045339594,0.3919786940665005,0.96072,0.8849,0.8925232398847546,0.8849,0.8857006875598021,284.00616431236267
