epoch,train_loss,val_loss,train_acc,val_acc,precision,recall,f1_score,epoch_time_sec
1,0.33923389516551566,0.18838076624638453,0.88582,0.9368,0.9379442671490668,0.9368,0.9369971619723727,157.87201857566833
2,0.15860272156341587,0.1720201660233279,0.94646,0.9415,0.9426295959287123,0.9415,0.9415741444842884,159.65647673606873
3,0.12309989079765103,0.15499491062753212,0.95834,0.9469,0.9472696996006602,0.9469,0.9468855547507526,159.2817656993866
4,0.1064044461318638,0.16468337457478285,0.96392,0.9449,0.9457333292554185,0.9449,0.9449005590202887,159.27682161331177
5,0.098607206388817,0.20191017998465763,0.96582,0.9367,0.9383569000011749,0.9367,0.9366017908993032,159.13125824928284
6,0.08831743768062407,0.17831539806609337,0.96984,0.9429,0.9435728348211214,0.9429,0.9429437511554636,157.38104104995728
7,0.09334992993629275,0.20592114108260542,0.9681,0.9354,0.9359164295442369,0.9354,0.9352202692113344,157.37645649909973
8,0.09246906621580656,0.18326415659446185,0.96852,0.9424,0.9434756894260956,0.9424,0.9424130149455883,157.45582175254822
9,0.09706697634913466,0.19226912307603578,0.96756,0.9365,0.9370271124683466,0.9365,0.9364598286030241,157.54583144187927
10,0.09480099809568754,0.22026733930904074,0.96852,0.9271,0.9283633649385247,0.9271,0.9271543032127795,157.31874203681946
11,0.10145678111770318,0.2027410756180676,0.96486,0.9352,0.9358615791631142,0.9352,0.9348780379224995,157.0094096660614
12,0.10249965001235496,0.2239364267716678,0.965,0.9273,0.9285731615902542,0.9273,0.9269679596654578,157.00565648078918
13,0.1094881952587564,0.22312356500675123,0.96298,0.9278,0.9279093060069669,0.9278,0.9273481044445525,157.21629238128662
14,0.1062667101860864,0.22139784615760605,0.96356,0.9291,0.9312081697626934,0.9291,0.9294392229168221,157.1018877029419
15,0.11139009027802627,0.2282727595995933,0.9621,0.9259,0.9269763136747724,0.9259,0.9260373962210624,156.9804482460022
16,0.10734111867858168,0.2205788109082574,0.96322,0.9282,0.9313475444278312,0.9282,0.928572380640676,156.8465611934662
17,0.11004937459581834,0.21679029954424778,0.96314,0.9278,0.9309342465630296,0.9278,0.9279812567344324,157.29662418365479
18,0.10748365698876819,0.2606285304863589,0.96334,0.9147,0.9154083209162734,0.9147,0.914396968026682,157.17203664779663
19,0.11232692753909226,0.23055094584060934,0.96244,0.924,0.9242273427752119,0.924,0.9238386944435135,157.31149673461914
20,0.1107724632436835,0.27311038205060906,0.96202,0.9078,0.9113017859488509,0.9078,0.9073682821434254,157.18543457984924
21,0.11215335225894385,0.21005152404225005,0.96222,0.9293,0.9308985903007225,0.9293,0.9288059560272108,157.47118973731995
22,0.10668348519891853,0.2556855394817389,0.96402,0.9161,0.9184759449034507,0.9161,0.9156092865711151,157.19505763053894
23,0.11435509464445495,0.2234791091973551,0.96216,0.9293,0.9312893893840037,0.9293,0.9294346648681391,157.17067337036133
